SYMBOL	24888_1366Naive	24888_1369Naive	24888_1369DN	24888_1367DN	24888_1367Naive	24888_2189Naive	24888_2189DN	24888_2179Naive	24888_1368Naive	24888_2183Naive	24888_2183DN	24888_2185Naive	24888_2185DN	24888_1365DN	24888_1365Naive
DISC1FP1	4	5	12	0	7	0	6	0	0	4	4	29	9	0	0
GNRH2	1	2	0	0	2	0	0	0	0	3	0	0	7	0	0
RAE1	1275	1095	1161	888	1401	1227	1443	873	1149	1221	947	1523	965	1001	1079
RNU6-984P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-72P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SLC6A8	11	8	4	1	9	5	3	23	12	11	13	9	5	2	9
RNU4-80P	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC093375.1	0	0	10	0	0	0	5	0	1	0	0	0	0	0	0
LSM12P1	13	4	11	6	12	5	9	10	7	4	2	10	5	7	13
RP11-172F10.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RNU6-1061P	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
RP3-508I15.9	9	1	7	0	6	7	8	10	3	7	3	7	3	4	11
RP11-677O4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-766H1.1	0	0	1	5	0	0	2	1	1	0	2	5	0	0	2
RNU1-75P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01415	5	22	0	0	18	18	1	0	5	23	8	52	0	2	21
CRAT	449	358	337	227	344	169	284	165	314	201	224	284	190	354	253
RPL23AP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-282C5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRY4-IT1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2272G21.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ANKRD33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC105052.1	0	0	0	1	0	1	0	6	0	4	1	0	2	4	1
ARSE	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ACP5	420	392	1366	1049	556	353	1557	534	268	555	1332	877	1559	1195	327
ASH2LP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-680F20.10	0	2	0	0	1	0	0	3	0	0	2	0	0	0	1
ZNF616	250	226	173	131	161	152	178	67	151	243	163	140	263	149	161
RP11-432M8.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-463C8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT18P17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF79	248	251	252	272	181	197	135	199	234	209	317	273	229	223	389
YBX2P1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-339N8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SCARF2	30	8	9	23	12	1	11	6	3	3	18	22	2	15	1
SUSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1P6	3	4	5	10	1	0	2	0	2	1	3	5	1	1	2
AC010894.5	31	8	23	5	15	5	0	11	13	21	12	26	17	8	12
RP11-473M20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC9C	443	463	579	346	348	580	629	283	457	509	442	815	541	470	553
RP11-374M1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTC-559E9.6	113	96	55	79	102	79	83	106	118	136	46	118	64	66	76
LINC01467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CECR3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
RP3-365O12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD24P4	0	0	0	0	0	1	0	0	2	0	1	0	0	2	1
CHIC2	633	489	624	574	666	454	632	484	541	636	395	1083	654	583	815
RP11-485G7.5	3	5	5	1	1	4	3	9	8	1	1	18	0	4	6
AC022182.3	135	53	82	34	53	85	164	70	67	114	72	153	121	45	43
SAMD11P1	2	1	0	0	3	1	1	0	3	2	0	3	0	0	0
RPSAP45	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZEB1	1108	896	827	648	879	640	873	798	902	1155	509	1383	616	776	895
USP9YP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-565N2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-74E22.6	2	5	0	2	0	1	3	5	8	10	3	1	0	0	0
CCDC136	4	10	13	42	23	16	61	8	10	16	93	44	15	5	60
USH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL498P	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0
HS3ST4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-10E18.7	1	4	1	0	0	1	4	1	3	0	1	0	1	0	1
SRSF8	3363	2761	2587	1712	3500	2560	2787	2732	2879	3883	2083	4042	1843	2374	3583
ADGRB2	0	7	65	28	0	0	76	0	0	0	58	7	2	65	10
NEDD1	1141	813	726	586	909	768	1212	921	711	918	736	1583	872	702	910
SDHAF2	224	177	298	143	197	173	318	208	194	287	189	313	238	218	243
NOP58	2561	1827	2717	1976	2583	2136	2532	2210	2199	2563	2107	3694	2532	2748	2374
RP11-122C5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513122.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGAG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-56P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-757G14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005522.6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SMUG1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIK3	0	0	7	27	1	0	23	0	0	0	0	1	0	0	0
METTL9	1444	1218	1487	1180	1599	1077	1754	1309	1343	1586	937	1937	1252	1413	1896
NOP56P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-733B9.1	7	11	6	0	2	6	2	10	3	6	5	3	1	0	1
ATP8B1	159	198	267	179	263	286	145	194	221	320	117	477	203	92	187
RP11-641A6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3AP34	6	9	7	4	5	4	6	7	6	6	8	7	0	0	0
RP11-567G24.1	2	5	1	3	3	2	1	1	1	2	1	2	0	1	0
TMED8	3028	2062	2709	1608	1352	1888	2296	1292	2396	2467	1787	2273	2171	1856	2401
MIR4466	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PYCR2	919	603	684	484	914	708	756	651	611	774	523	1138	593	621	904
C12orf57	330	204	236	187	273	228	331	193	215	338	194	341	288	310	367
RP11-587H10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPY2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4A2P1	0	0	25	3	0	2	6	2	3	0	2	0	2	4	0
RN7SL515P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-292D4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL13	0	0	4	0	0	1	0	1	0	4	8	1	0	0	11
FLJ26850	4	2	0	0	0	0	2	7	0	0	1	16	14	0	2
PNMA1	429	241	553	297	182	279	599	217	298	342	382	443	487	490	403
MANSC4	0	0	0	0	6	0	0	0	1	4	3	0	2	0	1
CHCHD5	243	157	206	148	179	155	333	205	177	226	129	179	110	185	225
ZMYND19	429	340	327	237	357	267	307	217	349	290	289	357	246	338	338
RP11-19N8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-103J17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17RC	120	79	165	55	116	54	128	67	119	109	80	143	125	81	91
ELOF1	862	623	1201	816	782	574	1322	633	615	831	901	875	889	1013	865
RP11-728E14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZYX	267	153	740	593	230	127	829	117	214	244	890	211	558	904	255
RP11-241F15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD3	9	0	0	1	3	2	9	2	0	7	0	2	0	3	8
MIR8062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1L1	0	0	0	0	0	0	8	0	0	10	13	0	0	21	0
TMEM261P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNA10	0	13	2	0	4	9	6	17	13	6	10	21	5	0	3
KB-7G2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKS1A	449	255	381	243	274	307	235	357	250	348	280	494	304	231	250
PRDM5	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0
RP11-410L14.2	79	50	56	44	45	38	72	55	63	67	62	55	44	56	43
AC090286.2	2	2	8	3	0	1	0	2	3	0	3	0	0	5	0
RP11-386E5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOD2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01037	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
CTD-2161F6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM12B	634	695	696	443	542	733	624	588	694	1041	659	883	429	461	527
IGHJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-35O15.2	1	0	0	0	7	0	0	2	3	5	2	0	1	0	1
PRADC1P1	12	12	8	3	5	6	3	4	8	15	4	22	7	3	14
AF240627.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC159540.2	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0
RP11-543E8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC142119.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRG3	3	6	16	3	3	3	5	2	0	2	3	1	3	7	7
RP11-87C12.2	0	2	0	0	1	0	0	0	0	0	0	4	0	0	0
RNU4-90P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM192A	1827	1307	1882	1251	1854	1586	2096	1667	1402	1976	1655	3014	1859	1465	1640
RP11-85A1.3	22	15	4	10	16	14	8	6	10	16	6	45	0	10	14
PABPC1L2B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNASE1L2	7	0	8	7	1	6	6	1	0	0	5	1	1	8	6
CTC-209H22.3	0	2	1	0	1	1	0	2	0	1	2	1	0	1	1
RAB9A	388	289	413	250	317	308	365	250	196	285	158	510	431	348	439
FLJ43879	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00239	2	0	0	3	0	0	1	0	0	0	0	3	5	0	0
FBXO24	21	2	12	11	16	8	4	1	15	27	13	25	5	2	4
MAP3K1	11774	8767	10155	7792	8186	11199	12764	9541	10886	11105	6592	13111	9333	7114	9340
RP11-51O6.1	80	77	99	78	66	59	119	84	79	102	42	72	49	104	116
FAM47C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR875	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PGAM1P11	6	1	5	0	8	7	1	4	3	0	0	16	0	0	7
RP11-408E5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUT1	1	0	0	0	1	0	2	1	0	1	0	0	2	0	1
FAM131B	0	0	0	0	0	0	1	0	0	0	0	0	0	6	11
RP11-357N13.3	14	8	21	7	22	9	5	9	11	22	7	17	9	4	9
KDM4B	6433	5649	6545	4193	5416	5340	6226	5350	5565	6328	4124	5819	3996	3855	5546
RP11-578F21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-436N22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1L	0	10	25	3	3	0	12	0	6	0	2	0	5	2	0
LINC01447	0	0	1	4	0	0	1	1	0	0	0	0	4	0	0
RP11-996F15.4	5	3	0	0	4	6	1	1	3	10	2	4	2	0	4
RP11-715J22.6	0	5	0	0	0	16	1	1	1	5	14	11	0	5	3
AC103563.9	0	0	0	0	0	0	1	0	0	0	5	0	3	0	0
RP11-234P3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPRC5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5M11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA1C	94	78	106	47	22	50	158	82	52	53	85	87	152	132	104
RNU6-212P	1	2	3	1	0	0	0	0	0	1	0	0	0	0	0
STRN4	1267	842	1272	882	1624	865	1333	1205	925	1222	1000	1531	1209	1140	1320
RPL23AP7	121	134	110	85	134	62	129	80	96	98	76	110	89	103	134
RNU6-828P	1	0	2	0	2	3	0	1	3	0	0	1	0	0	0
BCL11B	0	0	29	9	0	0	16	4	0	2	24	8	112	17	22
EGFEM1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
